Date,Time,City,Country,Temperature (°C),Humidity (%),Pressure (hPa),Wind (m/s),Weather
2025-10-10,06:49:12,Vilnius,LT,9.25,95,1009,4.63,Rain
2025-10-10,06:49:13,Santiago,CL,17.54,64,1017,0.45,Clouds
2025-10-10,06:49:15,Porto-Novo,BJ,24.9,83,1014,1.49,Clouds
2025-10-10,06:49:16,Stanley,FK,6.38,63,992,13.47,Clouds
2025-10-10,06:49:17,Tbilisi,GE,16.84,55,1016,12.86,Clear
2025-10-10,06:49:18,Nicosia,CY,21.83,56,1020,4.63,Clouds
2025-10-10,06:49:19,Accra,GH,24.23,94,1014,2.57,Clear
2025-10-10,06:49:20,Brussels,BE,12.31,92,1032,2.06,Clouds
2025-10-10,06:49:22,Havana,CU,25.24,94,1010,1.03,Clouds
2025-10-10,06:49:23,Andorra la Vella,AD,7.99,73,1026,2.24,Clear
2025-10-10,06:49:24,Buenos Aires,AR,14.87,75,1016,4.23,Clouds
2025-10-10,06:49:25,San Salvador,SV,20.48,100,1013,1.04,Rain
2025-10-10,06:49:26,Tashkent,UZ,21.52,14,1017,1.59,Clear
2025-10-10,06:49:27,Belmopan,BZ,22.91,98,1012,1.08,Rain
2025-10-10,06:49:28,Riga,LV,10.02,98,1006,1.54,Clouds
2025-10-10,06:49:30,Yamoussoukro,CI,22.7,94,1015,1.54,Clouds
2025-10-10,06:49:31,Paris,FR,10.18,95,1032,2.57,Clear
2025-10-10,06:49:32,Saipan,MP,28.39,83,1010,1.54,Clouds
2025-10-10,06:49:33,Brazzaville,CG,22.2,94,1013,1.03,Clouds
2025-10-10,06:49:34,Dhaka,BD,27.99,83,1008,3.6,Clouds
2025-10-10,06:49:36,Kabul,AF,18.14,29,1014,0.53,Clear
2025-10-10,06:49:38,Addis Ababa,ET,17.17,66,1018,2.79,Clouds
2025-10-10,06:49:39,Nouméa,NC,23.4,71,1019,6.85,Clear
2025-10-10,06:49:40,Ashgabat,TM,23.92,20,1011,6.17,Clear
2025-10-10,06:49:41,Amman,JO,19.05,63,1021,0.0,Clouds
2025-10-10,06:49:42,Plymouth,MS,26.8,78,1009,8.34,Rain
2025-10-10,06:49:43,Sofia,BG,14.88,56,1025,1.54,Clouds
2025-10-10,06:49:45,Castries,LC,23.64,100,1012,5.54,Rain
2025-10-10,06:49:46,Dakar,SN,29.03,84,1012,4.12,Clear
2025-10-10,06:49:47,Montevideo,UY,12.01,71,1017,2.57,Clear
2025-10-10,06:49:48,Bissau,GW,26.06,94,1012,1.54,Clouds
2025-10-10,06:49:49,Manila,PH,27.88,89,1008,1.79,Clouds
2025-10-10,06:49:50,Dodoma,TZ,24.14,45,1018,4.41,Clouds
2025-10-10,06:49:51,Douglas,IM,12.88,76,1033,4.12,Clouds
2025-10-10,06:49:53,Khartoum,SD,34.9,29,1011,2.57,Clear
2025-10-10,06:49:54,Freetown,SL,23.89,90,1013,2.45,Clouds
2025-10-10,06:49:55,N'Djamena,TD,25.98,89,1012,1.03,Clouds
2025-10-10,06:49:56,Port Vila,VU,25.78,69,1016,6.69,Clouds
2025-10-10,06:49:57,Kigali,RW,19.29,77,1017,1.03,Clouds
2025-10-10,06:49:58,Ramallah,PS,18.66,79,1021,2.32,Clouds
2025-10-10,06:49:59,Lomé,TG,25.09,94,1013,2.06,Clouds
2025-10-10,06:50:01,Abu Dhabi,AE,33.37,43,1012,3.6,Clear
2025-10-10,06:50:02,Moroni,KM,26.55,75,1019,2.72,Clear
2025-10-10,06:50:03,Pristina,XK,11.89,80,1026,1.54,Clouds
2025-10-10,06:50:04,Chișinău,MD,12.18,85,1018,6.69,Clouds
2025-10-10,06:50:05,Bishkek,KG,14.11,30,1019,3.54,Clear
2025-10-10,06:50:06,Praia,CV,25.3,83,1015,4.63,Clouds
2025-10-10,06:50:07,"Washington, D.C.",US,8.77,81,1031,3.09,Clear
2025-10-10,06:50:09,Caracas,VE,22.88,89,1012,1.03,Rain
2025-10-10,06:50:10,Adamstown,PN,18.67,66,1025,6.74,Clouds
2025-10-10,06:50:11,Mamoudzou,YT,27.79,69,1018,7.72,Clouds
2025-10-10,06:50:12,Dili,TL,26.97,80,1011,2.63,Clouds
2025-10-10,06:50:13,Honiara,SB,27.56,82,1010,5.63,Clouds
2025-10-10,06:50:14,Saint-Pierre,PM,6.98,76,1016,8.23,Clouds
2025-10-10,06:50:16,Quito,EC,8.53,93,1017,0.89,Rain
2025-10-10,06:50:17,Valletta,MT,20.3,77,1023,1.03,Clouds
2025-10-10,06:50:18,Bangui,CF,24.1,83,1015,2.57,Thunderstorm
2025-10-10,06:50:19,Nuku'alofa,TO,22.19,83,1021,4.12,Rain
2025-10-10,06:50:20,Athens,GR,19.57,66,1023,0.0,Clear
2025-10-10,06:50:21,Vienna,AT,12.27,84,1026,5.81,Clear
2025-10-10,06:50:22,Basseterre,KN,27.04,89,1008,6.52,Rain
2025-10-10,06:50:24,Abuja,NG,20.08,82,1014,1.39,Clouds
2025-10-10,06:50:25,Alofi,NU,23.94,94,1018,6.17,Rain
2025-10-10,06:50:26,Prague,CZ,11.34,86,1027,5.14,Clouds
2025-10-10,06:50:28,Kralendijk,BQ,27.99,83,1009,3.6,Rain
2025-10-10,06:50:29,Doha,QA,32.97,52,1012,1.54,Clear
2025-10-10,06:50:30,Mata-Utu,WF,27.42,82,1013,7.2,Rain
2025-10-10,06:50:32,Guatemala City,GT,16.23,100,1017,3.09,Rain
2025-10-10,06:50:33,Tunis,TN,20.3,47,1021,2.08,Clear
2025-10-10,06:50:34,Thimphu,BT,19.19,36,1012,1.87,Clouds
2025-10-10,06:50:35,Jamestown,SH,16.66,78,1019,7.82,Clouds
2025-10-10,06:50:36,Apia,WS,27.73,83,1014,10.05,Rain
2025-10-10,06:50:37,Dushanbe,TJ,23.9,25,1015,2.0,Clear
2025-10-10,06:50:39,El Aaiún,EH,20.19,77,1018,6.17,Clouds
2025-10-10,06:50:40,Jerusalem,IL,18.73,79,1021,2.72,Clear
2025-10-10,06:50:41,Mogadishu,SO,27.05,75,1016,5.36,Clouds
2025-10-10,06:50:42,Gustavia,BL,27.45,91,1008,2.24,Clouds
